Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),Round_Communication(MB),Total_Communication(MB),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(f1),01-LDAP(rounds),02-Portmap(f1),02-Portmap(rounds),03-DNS(f1),03-DNS(rounds)
mlp,auto,auto,fedavg,False,0,0 1 2 3,59,178,0.92311,0.06816,002.38,0.0711,4.1966,0.89655,43,0.82353,37,0.98810,52,0.98425,46
mlp,auto,auto,fedavg,False,0,0 1 2 3,60,181,0.92311,0.06816,001.21,0.0711,4.2677,0.89655,44,0.82353,37,0.98810,53,0.98425,47
mlp,auto,auto,fedavg,False,0,0 1 2 3,61,184,0.92311,0.06816,001.54,0.0711,4.3388,0.89655,45,0.82353,37,0.98810,54,0.98425,48
mlp,auto,auto,fedavg,False,0,0 1 2 3,62,187,0.92311,0.06816,001.21,0.0711,4.4100,0.89655,46,0.82353,38,0.98810,54,0.98425,49
mlp,auto,auto,fedavg,False,0,0 1 2 3,63,190,0.92311,0.06816,002.40,0.0711,4.4811,0.89655,47,0.82353,39,0.98810,54,0.98425,50
mlp,auto,auto,fedavg,False,0,0 1 2 3,64,193,0.92311,0.06816,001.49,0.0711,4.5522,0.89655,47,0.82353,40,0.98810,55,0.98425,51
mlp,auto,auto,fedavg,False,0,0 1 2 3,65,196,0.92311,0.06816,001.63,0.0711,4.6233,0.89655,48,0.82353,40,0.98810,56,0.98425,52
mlp,auto,auto,fedavg,False,0,0 1 2 3,66,199,0.92311,0.06816,001.48,0.0711,4.6945,0.89655,49,0.82353,41,0.98810,57,0.98425,52
mlp,auto,auto,fedavg,False,0,0 1 2 3,67,202,0.92311,0.06816,002.39,0.0711,4.7656,0.89655,50,0.82353,42,0.98810,58,0.98425,52
mlp,auto,auto,fedavg,False,0,0 1 2 3,68,205,0.92311,0.06816,001.22,0.0711,4.8367,0.89655,50,0.82353,43,0.98810,59,0.98425,53
mlp,auto,auto,fedavg,False,0,0 1 2 3,69,208,0.92311,0.06816,001.22,0.0711,4.9079,0.89655,51,0.82353,43,0.98810,60,0.98425,54
mlp,auto,auto,fedavg,False,0,0 1 2 3,70,211,0.92556,0.06462,001.60,0.0711,4.9790,0.89655,52,0.83333,44,0.98810,60,0.98425,55
mlp,auto,auto,fedavg,False,0,0 1 2 3,71,214,0.92556,0.06462,001.60,0.0711,5.0501,0.89655,53,0.83333,44,0.98810,61,0.98425,56
mlp,auto,auto,fedavg,False,0,0 1 2 3,72,217,0.92556,0.06462,001.26,0.0711,5.1212,0.89655,54,0.83333,45,0.98810,61,0.98425,57
